place_type,internal_id,parent_id,name_en,name_bn,latitude,longitude,website
Division,DIV_1,BD,Chattagram,চট্টগ্রাম,,,www.chittagongdiv.gov.bd
Division,DIV_2,BD,Rajshahi,রাজশাহী,,,www.rajshahidiv.gov.bd
Division,DIV_3,BD,Khulna,খুলনা,,,www.khulnadiv.gov.bd
Division,DIV_4,BD,Barisal,বরিশাল,,,www.barisaldiv.gov.bd
Division,DIV_5,BD,Sylhet,সিলেট,,,www.sylhetdiv.gov.bd
Division,DIV_6,BD,Dhaka,ঢাকা,,,www.dhakadiv.gov.bd
Division,DIV_7,BD,Rangpur,রংপুর,,,www.rangpurdiv.gov.bd
Division,DIV_8,BD,Mymensingh,ময়মনসিংহ,,,www.mymensinghdiv.gov.bd
District,DIST_1,DIV_1,Comilla,কুমিল্লা,23.4682747,,www.comilla.gov.bd
District,DIST_2,DIV_1,Feni,ফেনী,23.023231,,www.feni.gov.bd
District,DIST_3,DIV_1,Brahmanbaria,ব্রাহ্মণবাড়িয়া,23.9570904,,www.brahmanbaria.gov.bd
District,DIST_4,DIV_1,Rangamati,রাঙ্গামাটি,22.65561018,,www.rangamati.gov.bd
District,DIST_5,DIV_1,Noakhali,নোয়াখালী,22.869563,,www.noakhali.gov.bd
District,DIST_6,DIV_1,Chandpur,চাঁদপুর,23.2332585,,www.chandpur.gov.bd
District,DIST_7,DIV_1,Lakshmipur,লক্ষ্মীপুর,22.942477,,www.lakshmipur.gov.bd
District,DIST_8,DIV_1,Chattogram,চট্টগ্রাম,22.335109,,www.chittagong.gov.bd
District,DIST_9,DIV_1,Coxsbazar,কক্সবাজার,21.44315751,,www.coxsbazar.gov.bd
District,DIST_10,DIV_1,Khagrachhari,খাগড়াছড়ি,23.119285,,www.khagrachhari.gov.bd
District,DIST_11,DIV_1,Bandarban,বান্দরবান,22.1953275,,www.bandarban.gov.bd
District,DIST_12,DIV_2,Sirajganj,সিরাজগঞ্জ,24.4533978,,www.sirajganj.gov.bd
District,DIST_13,DIV_2,Pabna,পাবনা,23.998524,,www.pabna.gov.bd
District,DIST_14,DIV_2,Bogura,বগুড়া,24.8465228,,www.bogra.gov.bd
District,DIST_15,DIV_2,Rajshahi,রাজশাহী,24.37230298,,www.rajshahi.gov.bd
District,DIST_16,DIV_2,Natore,নাটোর,24.420556,,www.natore.gov.bd
District,DIST_17,DIV_2,Joypurhat,জয়পুরহাট,25.09636876,,www.joypurhat.gov.bd
District,DIST_18,DIV_2,Chapainawabganj,চাঁপাইনবাবগঞ্জ,24.5965034,,www.chapainawabganj.gov.bd
District,DIST_19,DIV_2,Naogaon,নওগাঁ,24.83256191,,www.naogaon.gov.bd
District,DIST_20,DIV_3,Jashore,যশোর,23.16643,,www.jessore.gov.bd
District,DIST_21,DIV_3,Satkhira,সাতক্ষীরা,22.7180905,,www.satkhira.gov.bd
District,DIST_22,DIV_3,Meherpur,মেহেরপুর,23.762213,,www.meherpur.gov.bd
District,DIST_23,DIV_3,Narail,নড়াইল,23.172534,,www.narail.gov.bd
District,DIST_24,DIV_3,Chuadanga,চুয়াডাঙ্গা,23.6401961,,www.chuadanga.gov.bd
District,DIST_25,DIV_3,Kushtia,কুষ্টিয়া,23.901258,,www.kushtia.gov.bd
District,DIST_26,DIV_3,Magura,মাগুরা,23.487337,,www.magura.gov.bd
District,DIST_27,DIV_3,Khulna,খুলনা,22.815774,,www.khulna.gov.bd
District,DIST_28,DIV_3,Bagerhat,বাগেরহাট,22.651568,,www.bagerhat.gov.bd
District,DIST_29,DIV_3,Jhenaidah,ঝিনাইদহ,23.5448176,,www.jhenaidah.gov.bd
District,DIST_30,DIV_4,Jhalakathi,ঝালকাঠি,22.6422689,,www.jhalakathi.gov.bd
